step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	-nan
500	0.5	4.46949	26817	0	5236.52	4379.3	0	25659.1	0	0	0	-nan
1000	1	4.46384	26783	0	4948.94	4579.43	1.58002	25145.9	0	0.0015	3	0
1500	1.5	4.45417	26725	0.261939	5310.37	4465.98	2.96062	25229.4	0	0.0015	3	0.416667
2000	2	4.5119	27071.4	1.01952	5074.23	4541.41	4.49962	25082.2	0	0.002	4	0.625
2500	2.5	4.47633	26858	10.7189	5199.59	4357.68	4.80082	25236.4	0	0.002	4	0.854167
3000	3	4.41829	26509.7	2.3132	5135.9	4324.69	16.1615	25422.7	0	0.003	6	0.638889
3500	3.5	4.37877	26272.6	16.8492	5023.31	4545.37	4.69565	25388.6	0	0.003	6	0.805556
4000	4	4.41784	26507.1	3.12516	5511.49	4398.69	13.2509	25382.3	0	0.004	8	0.708333
4500	4.5	4.46376	26782.5	16.2044	5118.96	4417.84	15.273	25330.8	0	0.004	8	0.854167
5000	5	4.37119	26227.2	29.5192	5303.58	4466.03	26.6667	25117.2	0	0.0055	11	0.69697
5500	5.5	4.40431	26425.8	36.011	5309.7	4609.13	11.3199	25061.5	0	0.0055	11	0.840909
6000	6	4.54093	27245.6	17.0901	5166.84	4495.33	24.4063	25220	0	0.0075	15	0.7
6500	6.5	4.43291	26597.5	77.3595	5144.3	4358.86	29.3044	25367.4	0	0.0075	15	0.844444
7000	7	4.40634	26438	67.3543	5379.67	4289.55	50.2372	25228.7	0	0.009	18	0.796296
7500	7.5	4.37004	26220.2	30.5609	5211.86	4486.43	45.7484	25381.2	0	0.009	18	0.902778
8000	8	4.45033	26702	43.5295	5337.52	4424.92	59.532	25598.6	0	0.01	20	0.875
8500	8.5	4.29991	25799.5	51.6175	5323.22	4424.37	36.3112	25387.1	0	0.01	20	0.941667
9000	9	4.50163	27009.8	31.3094	5210.05	4385.02	40.0852	25626.5	0	0.0125	25	0.786667
9500	9.5	4.45025	26701.5	53.0432	5481.01	4557.85	61.0175	25654.7	0	0.0125	25	0.883333
10000	10	4.42924	26575.5	45.9367	5482.6	4332.89	55.2405	25319.3	0	0.0135	27	0.895062
10500	10.5	4.49489	26969.3	33.8876	5262.04	4564.58	49.5931	25875.9	0	0.0135	27	0.95679
11000	11	4.47086	26825.2	39.6625	5432.37	4765.44	52.4198	25940.5	0	0.0135	27	0.987654
11500	11.5	4.47227	26833.6	54.3523	5083.43	4278.38	48.9039	25792.4	0	0.0135	27	1
12000	12	4.55773	27346.4	23.3025	5221.64	4504.1	77.6658	25760.2	0	0.0145	29	0.931034
12500	12.5	4.45432	26725.9	51.8189	5237.38	4434.12	60.5059	25453.7	0	0.0145	29	0.95977
13000	13	4.40233	26414	55.5423	5314.26	4432.57	67.272	25212.8	0	0.015	30	0.955556
13500	13.5	4.48984	26939.1	68.7746	5264.39	4673.08	52.9256	25384.2	0	0.015	30	0.980556
14000	14	4.37537	26252.2	56.057	5546.76	4416.91	66.2047	25245.1	0	0.016	32	0.932292
14500	14.5	4.45154	26709.3	77.7291	5042.23	4333.91	46.2891	24898.6	0	0.016	32	0.963542
15000	15	4.41428	26485.7	95.2256	5448.66	4600.95	51.4866	25071.6	0	0.017	34	0.931373
15500	15.5	4.37701	26262	49.313	5181	4185.49	67.1914	25395.3	0	0.017	34	0.965686
16000	16	4.39681	26380.8	86.1046	5235.67	4288.11	41.2311	25225.3	0	0.017	34	0.990196
16500	16.5	4.44532	26671.9	95.0324	5252.86	4371.14	57.6613	25407.7	0	0.017	34	1
17000	17	4.50332	27019.9	31.5869	5444.57	4410.14	82.9459	25331.4	0	0.019	38	0.894737
17500	17.5	4.43484	26609.1	98.1303	5268.91	4418.47	62.7127	25210.8	0	0.019	38	0.938596
18000	18	4.48216	26893	75.0325	5542.25	4572.46	62.2122	24936.8	0	0.0195	39	0.957265
18500	18.5	4.51526	27091.6	133.611	5109.58	4652.01	57.2525	24913.5	0	0.0195	39	0.985043
19000	19	4.57879	27472.8	73.1042	5323.44	4229.5	61.7486	24809.5	0	0.0205	41	0.947154
19500	19.5	4.38187	26291.2	90.3496	5537.83	4519.72	53.7689	24867	0	0.0205	41	0.971545
20000	20	4.35852	26151.1	90.1623	6445.63	4324.78	77.352	25334.9	0	0.0215	43	0.945736
20500	20.5	4.4819	26891.4	117.217	5160.62	4512.57	75.466	25407	0	0.0215	43	0.972868
21000	21	4.3159	25895.4	103.4	5363.06	4235	63.3025	25340.2	0	0.0215	43	0.992248
21500	21.5	4.35717	26143	118.036	5398.39	4719.81	56.4733	25218.8	0	0.0215	43	1
22000	22	4.3668	26200.8	76.0438	5506.54	4343.46	79.9043	25172.2	0	0.0225	45	0.955556
22500	22.5	4.35402	26124.1	103.106	5526.39	4551.15	95.8613	25067.3	0	0.0225	45	0.974074
23000	23	4.50691	27041.4	99.2004	5426.64	4249.83	111.253	25276.6	0	0.0255	51	0.875817
23500	23.5	4.43191	26591.5	80.4097	5555.25	4622.92	94.231	24997.7	0	0.0255	51	0.931373
24000	24	4.41483	26489	106.359	5214.22	4492.55	85.1875	24921.2	0	0.0255	51	0.980392
24500	24.5	4.36706	26202.4	103.964	5205.27	4332.7	127.226	24816.1	0	0.0255	51	1
25000	25	4.45476	26728.6	67.8185	5978.66	4757.29	88.5332	24566.7	0	0.027	54	0.944444
25500	25.5	4.34069	26044.1	110.575	5605.89	4521.86	97.9854	25039.6	0	0.027	54	0.967593
26000	26	4.40121	26407.3	104.284	5257.35	4287.14	104.876	24957.5	0	0.0275	55	0.972727
26500	26.5	4.4924	26954.4	102.493	5283.01	4420.65	97.548	24809	0	0.0275	55	0.989394
27000	27	4.298	25788	95.0949	5353.34	4538.71	90.3805	25069.4	0	0.028	56	0.979167
27500	27.5	4.39712	26382.7	118.185	5225.7	4353.02	116.018	24829.1	0	0.028	56	0.989583
28000	28	4.50206	27012.3	138.602	5606.96	4762.22	102.271	24879.4	0	0.029	58	0.962644
28500	28.5	4.449	26694	119.691	5472.87	4442.94	103.657	24905.9	0	0.029	58	0.979885
29000	29	4.39953	26397.2	139.459	5623.19	4335.2	110.168	24972.8	0	0.0295	59	0.977401
29500	29.5	4.47306	26838.4	96.8729	5364.65	4324.9	106.092	24912.8	0	0.0295	59	0.990113
30000	30	4.39526	26371.6	159.745	5518.93	4416.22	107.701	25073.9	0	0.0295	59	0.997175
30500	30.5	4.52189	27131.4	90.9423	5488.03	4332.14	121.015	25130.1	0	0.0295	59	1
31000	31	4.41069	26464.2	117.871	5302.05	4382.69	138.753	25393.6	0	0.0305	61	0.967213
31500	31.5	4.43528	26611.7	141.902	5183.22	4162.59	129.119	24969.8	0	0.0305	61	0.980874
32000	32	4.40969	26458.1	124.013	5503.95	4323.87	71.735	24961.3	0	0.031	62	0.978495
32500	32.5	4.42258	26535.5	151.626	5494.8	4296.3	128.796	24979.1	0	0.031	62	0.990591
33000	33	4.44168	26650.1	140.675	5435.55	4239.72	120.193	24870.8	0	0.032	64	0.966146
33500	33.5	4.45648	26738.9	157.211	5473.85	4391	99.4397	24969.5	0	0.032	64	0.981771
34000	34	4.58976	27538.5	134.724	5206.21	4615.01	126.644	24788.8	0	0.034	68	0.936275
34500	34.5	4.43088	26585.3	175.031	5600.6	4410.44	129.458	24926.5	0	0.034	68	0.965686
35000	35	4.49601	26976.1	106.596	5595.4	4042.32	133.489	24835.9	0	0.034	68	0.990196
35500	35.5	4.38385	26303.1	133.823	5469.19	4398.87	139.882	25162.5	0	0.034	68	1
36000	36	4.42877	26572.6	164.881	5209.8	4380.79	123.582	24873	0	0.0345	69	0.985507
36500	36.5	4.48735	26924.1	196.904	5458.94	4202.6	175.46	25106.4	0	0.0345	69	0.991546
37000	37	4.36742	26204.5	207.405	5449.42	4315.98	100.24	25010.7	0	0.037	74	0.93018
37500	37.5	4.39805	26388.3	204.27	5350.81	4438.93	147.752	25029.2	0	0.037	74	0.960586
38000	38	4.39956	26397.4	162.703	5840.03	4320.46	161.18	24707.1	0	0.038	76	0.962719
38500	38.5	4.47011	26820.7	201.223	5889.12	4359.18	142.698	24784.6	0	0.038	76	0.984649
39000	39	4.4089	26453.4	214.369	6366.79	4515.05	133.018	24515.7	0	0.0385	77	0.982684
39500	39.5	4.50043	27002.6	179.051	5463.35	4600.84	128.769	24432.3	0	0.0385	77	0.992424
40000	40	4.43941	26636.5	151.463	5386.77	4388.43	143.446	24551.2	0	0.0395	79	0.972574
40500	40.5	4.40877	26452.6	186.984	5631.21	4540.73	144.671	24601.8	0	0.0395	79	0.985232
41000	41	4.49604	26976.2	204.79	5288.52	4178.16	151.158	24285.4	0	0.0405	81	0.971193
41500	41.5	4.4056	26433.6	183.572	5558.54	4672.3	162.575	24392.7	0	0.0405	81	0.985597
42000	42	4.43396	26603.8	191.941	5384.65	4461.58	133.422	24210	0	0.0405	81	0.995885
42500	42.5	4.39215	26352.9	151.991	5535.4	4396.76	132.321	24651.3	0	0.0405	81	1
43000	43	4.47396	26843.8	195.119	5514.04	4503.39	161.242	24476.3	0	0.0405	81	1
43500	43.5	4.49888	26993.3	203.141	5268.43	4750.7	148.111	24938.5	0	0.0405	81	1
44000	44	4.45558	26733.5	159.062	5710.36	4384.34	157.209	24499.6	0	0.041	82	0.987805
44500	44.5	4.4726	26835.6	150.072	5465.06	4521.01	175.726	24500.5	0	0.041	82	0.992886
45000	45	4.52423	27145.4	165.884	5475.3	4308.95	180.307	24529.8	0	0.042	84	0.974206
45500	45.5	4.45299	26718	174.651	5707.19	4353.93	159.244	24670	0	0.042	84	0.986111
46000	46	4.43915	26634.9	223.923	5562.48	4403.24	149.675	24552.5	0	0.0425	85	0.984314
46500	46.5	4.51752	27105.1	191.737	5643.9	4486.17	166.869	24510.4	0	0.0425	85	0.993137
47000	47	4.42247	26534.8	140.802	5613.94	4448.82	169.896	24732.9	0	0.0435	87	0.975096
47500	47.5	4.3667	26200.2	163.007	5373.92	4671.84	147.724	24816.6	0	0.0435	87	0.98659
48000	48	4.5192	27115.2	153.629	5322.73	4451.97	156.899	24522.6	0	0.0435	87	0.996169
48500	48.5	4.5329	27197.4	171.993	5159.81	4440.13	126.792	24733.1	0	0.0435	87	1
49000	49	4.5043	27025.8	172.523	5588.21	4647.77	190.872	24697.8	0	0.0435	87	1
49500	49.5	4.36568	26194.1	213.187	5419.6	4287.82	155.398	25016.7	0	0.0435	87	1
50000	50	4.50273	27016.4	189.158	5573.72	4452.46	148.697	24706.1	0	0.0445	89	0.977528
